Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,City,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
69000.0,GBP,,,1700.0,,,Airplane,Piston Engine,1,Aviat,Christen Eagle Ii,,,United Kingdom,Europe,United States,,,,,,,,,Price: Â£
135000.0,GBP,,,1927.0,,,Airplane,Piston Engine,1,Mooney International Corp,M20K 305 Rocket,,,United Kingdom,Europe,United States,,,,,,,,,Price: Â£
2095000.0,,2001,,6774.0,,,Airplane,Turbofan,,Bombardier Learjet,60,,FL,United States,North America,Canada,,,,,,,,,Price: USD $
1900000.0,,1991,,7585.0,,,Airplane,Turboprop,,Beechcraft,King Air 350,,FL,United States,North America,United States,,,,,,,,,Price: USD $
730000.0,,1996,,3317.4,,,Airplane,Turbofan,,Cessna,Citation 525,,,Germany,Europe,United States,,,,,,,,,Price: USD $
310000.0,GBP,2004,,350.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Clipper Ii,,,United Kingdom,Europe,United States,,,,,,,,,Price: Â£
30000.0,USD,2002,Used,385.0,2,VFR,Airplane,Piston Engine,1,Blue Yonder Aviation,Merlin Gt,Weatherford,TX,United States,,Canada,385.0,SNEW,,,,SNEW,,,$
1965000.0,USD,1995,Used,3597.0,,,Airplane,Turbofan,,Cessna,Citation V Ultra,West Palm Beach,FL,United States,,United States,38.0,SOH,38.0,SOH,,,,,$
92000.0,USD,1979,Used,12000.0,4,IFR,Airplane,Piston Engine,2,Piper Aircraft,Seminole,Pensacola,FL,United States,,United States,1230.0,SMOH,1230.0,SMOH,890.0,SPOH,890.0,SPOH,$
175000.0,USD,2006,Used,,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,Atlanta,GA,United States,,United States,,,,,,,,,$
337000.0,USD,1941,New,,3,,Airplane,Piston Engine,1,Waco Aircraft Company,Upf-7,Andrews,NC,United States,,United States,,,,,,,,,$
119500.0,USD,1978,Used,4632.0,4,IFR,Airplane,Piston Engine,1,Cessna,182Rg Skylane,Denver,CO,United States,,United States,2644.0,SMOH,,,,,,,$
52000.0,USD,2014,Used,50.0,2,,Airplane,Piston Engine,1,Europa Aircraft,Monowheel,Gold Coast,,United States,,United Kingdom,50.0,,,,50.0,,50.0,,$
16500000.0,,2017,,1561.0,,,Airplane,Turbofan,,Bombardier Challenger,650,,,United Kingdom,Europe,Canada,,,,,,,,,Price: USD $
162500.0,GBP,,,1450.0,,,Airplane,Piston Engine,1,Rockwell,115,,,United Kingdom,Europe,United States,,,,,,,,,Price: Â£
1595000.0,,2011,,,,,Airplane,Turbofan,,Embraer,Phenom 100,,,United Kingdom,Europe,Brazil,,,,,,,,,Price: USD $
2200000.0,,2002,,3674.0,,,Airplane,Turboprop,,Beechcraft,King Air 350,,,United Kingdom,Europe,United States,,,,,,,,,Price: USD $
230000.0,,1975,,6278.0,,,Rotorcraft,Turboshaft,,Agusta,Ab206,,,United Kingdom,Europe,Italy,,,,,,,,,Price: USD $
97000.0,USD,1978,Used,5350.0,4,,Airplane,Piston Engine,1,Cessna,182Rg Skylane,Sedona,AZ,United States,,United States,1420.0,,,,,,,,$
