Condition,Price,Propulsion,No. Engines,Year,Make,Model,Flight Rules,National Origin,Country,Continent
No information,69000.0,Piston Engine,1.0,1987.0,Aviat,Christen Eagle Ii,No information,United States,United Kingdom,Europe
No information,135000.0,Piston Engine,1.0,1987.0,Mooney International Corp,M20K 305 Rocket,No information,United States,United Kingdom,Europe
No information,2095000.0,Turbofan,2.0,2001.0,Bombardier Learjet,60,No information,Canada,United States,North America
No information,1900000.0,Turboprop,2.0,1991.0,Beechcraft,King Air 350,No information,United States,United States,North America
No information,730000.0,Turbofan,2.0,1996.0,Cessna,Citation 525,No information,United States,Germany,Europe
No information,310000.0,Piston Engine,1.0,2004.0,Robinson Helicopter,R44 Clipper Ii,IFR,United States,United Kingdom,Europe
Used,30000.0,Piston Engine,1.0,2002.0,Blue Yonder Aviation,Merlin Gt,VFR,Canada,United States,North America
Used,1965000.0,Turbofan,2.0,1995.0,Cessna,Citation V Ultra,No information,United States,United States,North America
Used,92000.0,Piston Engine,2.0,1979.0,Piper Aircraft,Seminole,IFR,United States,United States,North America
Used,175000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
New,337000.0,Piston Engine,1.0,1941.0,Waco Aircraft Company,Upf-7,VFR,United States,United States,North America
Used,52000.0,Piston Engine,1.0,2014.0,Europa Aircraft,Monowheel,No information,United Kingdom,United States,North America
No information,16500000.0,Turbofan,2.0,2017.0,Bombardier Challenger,650,No information,Canada,United Kingdom,Europe
No information,162500.0,Piston Engine,1.0,1987.0,Rockwell,115,No information,United States,United Kingdom,Europe
No information,1595000.0,Turbofan,2.0,2011.0,Embraer,Phenom 100,IFR,Brazil,United Kingdom,Europe
No information,2200000.0,Turboprop,2.0,2002.0,Beechcraft,King Air 350,No information,United States,United Kingdom,Europe
No information,230000.0,Turboshaft,1.0,1975.0,Agusta,Ab206,No information,Italy,United Kingdom,Europe
Used,97000.0,Piston Engine,1.0,1978.0,Cessna,182Rg Skylane,IFR,United States,United States,North America
No information,845000.0,Turbofan,2.0,1997.0,Hawker Beechcraft,800Xp,No information,United States,United States,North America
Used,179000.0,Piston Engine,2.0,1987.0,Piper Aircraft,Aztec F,IFR,United States,United States,North America
No information,54900.0,Piston Engine,1.0,1967.0,Cessna,182 Skylane,IFR,United States,United States,North America
Used,32000.0,Piston Engine,1.0,1940.0,Piper Aircraft,J-4 Cub Coupe,No information,United States,United States,North America
Used,120000.0,Piston Engine,1.0,1978.0,Piper Aircraft,Lance Ii,IFR,United States,United States,North America
Used,250000.0,Piston Engine,1.0,2019.0,Cubcrafters,Carbon Cub Ex,VFR,United States,United States,North America
Used,895000.0,Turboshaft,1.0,2011.0,Robinson Helicopter,R66 Turbine,No information,United States,United States,North America
Used,31000.0,Piston Engine,1.0,1966.0,Cessna,150,VFR,United States,United States,North America
Project,13000.0,Piston Engine,1.0,1947.0,Piper Aircraft,Pa-12 Super Cruiser,VFR,United States,United States,North America
Used,79000.0,Piston Engine,1.0,1979.0,Mooney International Corp,M20J 201,IFR,United States,United States,North America
Used,62900.0,Piston Engine,1.0,1957.0,Beechcraft,H35 Bonanza,IFR,United States,United States,North America
Used,32900.0,Piston Engine,1.0,1980.0,Beechcraft,Skipper,No information,United States,United States,North America
