Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
69000.0,GBP,1987.0,No information,1700.0,4.0,No information,Airplane,Piston Engine,1.0,Aviat,Christen Eagle Ii,N/A,United Kingdom,Europe,United States,,,0.0,N/A,,,0.0,N/A,Price: Â£
135000.0,GBP,1987.0,No information,1927.0,4.0,No information,Airplane,Piston Engine,1.0,Mooney International Corp,M20K 305 Rocket,N/A,United Kingdom,Europe,United States,,,0.0,N/A,,,0.0,N/A,Price: Â£
2095000.0,USD,2001.0,No information,6774.0,4.0,No information,Airplane,Turbofan,2.0,Bombardier Learjet,60,FL,United States,North America,Canada,,,,,0.0,N/A,0.0,N/A,Price: USD $
1900000.0,USD,1991.0,No information,7585.0,8.0,No information,Airplane,Turboprop,2.0,Beechcraft,King Air 350,FL,United States,North America,United States,,,,,,,,,Price: USD $
730000.0,USD,1996.0,No information,3317.4,4.0,No information,Airplane,Turbofan,2.0,Cessna,Citation 525,N/A,Germany,Europe,United States,,,,,0.0,N/A,0.0,N/A,Price: USD $
310000.0,GBP,2004.0,No information,350.0,4.0,IFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Clipper Ii,N/A,United Kingdom,Europe,United States,,,0.0,N/A,,,0.0,N/A,Price: Â£
30000.0,USD,2002.0,Used,385.0,2.0,VFR,Airplane,Piston Engine,1.0,Blue Yonder Aviation,Merlin Gt,TX,United States,North America,Canada,385.0,SNEW,0.0,N/A,,SNEW,0.0,N/A,$
1965000.0,USD,1995.0,Used,3597.0,9.0,No information,Airplane,Turbofan,2.0,Cessna,Citation V Ultra,FL,United States,North America,United States,38.0,SOH,38.0,SOH,0.0,N/A,0.0,N/A,$
92000.0,USD,1979.0,Used,12000.0,4.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Seminole,FL,United States,North America,United States,1230.0,SMOH,1230.0,SMOH,890.0,SPOH,890.0,SPOH,$
175000.0,USD,2006.0,Used,3939.3759715731367,4.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R44 Raven Ii,GA,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
337000.0,USD,1941.0,New,3939.3759715731367,3.0,VFR,Airplane,Piston Engine,1.0,Waco Aircraft Company,Upf-7,NC,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
52000.0,USD,2014.0,Used,50.0,2.0,No information,Airplane,Piston Engine,1.0,Europa Aircraft,Monowheel,FL,United States,North America,United Kingdom,50.0,,0.0,N/A,50.0,,0.0,N/A,$
16500000.0,USD,2017.0,No information,1561.0,4.0,No information,Airplane,Turbofan,2.0,Bombardier Challenger,650,N/A,United Kingdom,Europe,Canada,,,,,0.0,N/A,0.0,N/A,Price: USD $
162500.0,GBP,1987.0,No information,1450.0,4.0,No information,Airplane,Piston Engine,1.0,Rockwell,115,N/A,United Kingdom,Europe,United States,,,0.0,N/A,,,0.0,N/A,Price: Â£
1595000.0,USD,2011.0,No information,3939.3759715731367,6.0,IFR,Airplane,Turbofan,2.0,Embraer,Phenom 100,N/A,United Kingdom,Europe,Brazil,,,,,0.0,N/A,0.0,N/A,Price: USD $
2200000.0,USD,2002.0,No information,3674.0,8.0,No information,Airplane,Turboprop,2.0,Beechcraft,King Air 350,N/A,United Kingdom,Europe,United States,,,,,,,,,Price: USD $
230000.0,USD,1975.0,No information,6278.0,4.0,No information,Rotorcraft,Turboshaft,1.0,Agusta,Ab206,N/A,United Kingdom,Europe,Italy,,,0.0,N/A,,,0.0,N/A,Price: USD $
97000.0,USD,1978.0,Used,5350.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,182Rg Skylane,AZ,United States,North America,United States,1420.0,,0.0,N/A,,,0.0,N/A,$
845000.0,USD,1997.0,No information,5185.0,4.0,No information,Airplane,Turbofan,2.0,Hawker Beechcraft,800Xp,FL,United States,North America,United States,,,,,0.0,N/A,0.0,N/A,Price: USD $
179000.0,USD,1987.0,Used,4051.0,6.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Aztec F,FL,United States,North America,United States,224.0,SFRM,224.0,SFRM,224.0,SPOH,224.0,SPOH,$
54900.0,USD,1967.0,No information,3594.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,182 Skylane,FL,United States,North America,United States,917.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
32000.0,USD,1940.0,Used,3939.3759715731367,4.0,No information,Airplane,Piston Engine,1.0,Piper Aircraft,J-4 Cub Coupe,NY,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
120000.0,USD,1978.0,Used,5700.0,6.0,IFR,Airplane,Piston Engine,1.0,Piper Aircraft,Lance Ii,MN,United States,North America,United States,1870.0,SMOH,0.0,N/A,,,0.0,N/A,$
250000.0,USD,2019.0,Used,70.0,2.0,VFR,Airplane,Piston Engine,1.0,Cubcrafters,Carbon Cub Ex,CA,United States,North America,United States,70.0,,0.0,N/A,,,0.0,N/A,$
895000.0,USD,2011.0,Used,443.0,5.0,No information,Rotorcraft,Turboshaft,1.0,Robinson Helicopter,R66 Turbine,GA,United States,North America,United States,83.0,,0.0,N/A,,,0.0,N/A,$
31000.0,USD,1966.0,Used,3567.0,2.0,VFR,Airplane,Piston Engine,1.0,Cessna,150,TX,United States,North America,United States,630.0,SMOH,0.0,N/A,,,0.0,N/A,$
13000.0,USD,1947.0,Project,3939.3759715731367,3.0,VFR,Airplane,Piston Engine,1.0,Piper Aircraft,Pa-12 Super Cruiser,CO,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
79000.0,USD,1979.0,Used,2350.0,4.0,IFR,Airplane,Piston Engine,1.0,Mooney International Corp,M20J 201,GA,United States,North America,United States,1050.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
62900.0,USD,1957.0,Used,4218.0,4.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,H35 Bonanza,AL,United States,North America,United States,1218.0,,0.0,N/A,,SPOH,0.0,N/A,$
32900.0,USD,1980.0,Used,3066.0,4.0,No information,Airplane,Piston Engine,1.0,Beechcraft,Skipper,IL,United States,North America,United States,2062.0,SMOH,0.0,N/A,,SNEW,0.0,N/A,$
369500.0,USD,2008.0,Used,1650.0,4.0,IFR,Airplane,Piston Engine,1.0,Cirrus,Sr22-G3,GA,United States,North America,United States,1650.0,SNEW,0.0,N/A,,SNEW,0.0,N/A,$
10000.0,USD,1941.0,Project,1200.0,2.0,VFR,Airplane,Piston Engine,1.0,Piper Aircraft,J-3C,WY,United States,North America,United States,174.0,SMOH,0.0,N/A,,,0.0,N/A,$
159000.0,USD,1991.0,Used,1392.0,2.0,IFR,Airplane,Piston Engine,1.0,Glasair Aviation,Glasair Iii,GA,United States,North America,United States,1042.0,,0.0,N/A,,,0.0,N/A,$
230000.0,USD,1975.0,Used,4621.0,8.0,IFR,Airplane,Piston Engine,2.0,Cessna,421B,IL,United States,North America,United States,990.0,SMOH,20.0,SMOH,20.0,SPOH,20.0,SPOH,$
65000.0,USD,2000.0,Used,3939.3759715731367,2.0,No information,Airplane,Piston Engine,1.0,Van'S Aircraft,Rv-6/6A,WA,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
82300.0,USD,1968.0,Used,5092.0,4.0,IFR,Airplane,Piston Engine,1.0,Cessna,182 Skylane,CO,United States,North America,United States,411.0,SMOH,0.0,N/A,,SNEW,0.0,N/A,$
85000.0,USD,2008.0,Used,200.0,4.0,No information,Airplane,Piston Engine,1.0,Remos,Gx,NC,United States,North America,Germany,,,0.0,N/A,,,0.0,N/A,$
150000.0,USD,1977.0,Used,5350.0,5.0,IFR,Airplane,Piston Engine,2.0,Piper Aircraft,Seneca Ii,OK,United States,North America,United States,480.0,SOH,400.0,SOH,900.0,SOH,900.0,SOH,$
39900.0,USD,1967.0,Used,2345.0,4.0,No information,Airplane,Piston Engine,1.0,Beechcraft,A23-19 Musketeer Sport Iii,TX,United States,North America,United States,0.0,N/A,0.0,N/A,,,0.0,N/A,$
125000.0,USD,2005.0,Used,1325.0,2.0,VFR,Rotorcraft,Piston Engine,1.0,Robinson Helicopter,R22 Beta Ii,CA,United States,North America,United States,1325.0,,0.0,N/A,,,0.0,N/A,$
39500.0,USD,1959.0,Used,8578.0,2.0,IFR,Airplane,Piston Engine,1.0,Cessna,150,OH,United States,North America,United States,730.0,SMOH,0.0,N/A,,SNEW,0.0,N/A,$
59000.0,USD,1973.0,Used,6560.0,4.0,VFR,Airplane,Piston Engine,1.0,Piper Aircraft,Cherokee 140,FL,United States,North America,United States,250.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
79000.0,USD,1985.0,Used,2190.0,4.0,IFR,Airplane,Piston Engine,1.0,Maule Air,M-6-235,MN,United States,North America,United States,2190.0,SNEW,0.0,N/A,,SNEW,0.0,N/A,$
94000.0,USD,1964.0,Used,4820.0,5.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,S35 Bonanza,IL,United States,North America,United States,600.0,SMOH,0.0,N/A,,,0.0,N/A,$
365000.0,USD,1971.0,Used,3939.3759715731367,4.0,VFR,Rotorcraft,Turboshaft,1.0,Bell Textron,206B Ii,GA,United States,North America,United States,,,0.0,N/A,,,0.0,N/A,$
49000.0,USD,1953.0,Used,2298.0,4.0,IFR,Airplane,Piston Engine,1.0,Beechcraft,35 Bonanza,WA,United States,North America,United States,911.0,SMOH,0.0,N/A,,,0.0,N/A,$
550000.0,USD,1977.0,No information,8656.0,4.0,No information,Airplane,Turboprop,2.0,Beechcraft,King Air B100,N/A,South Africa,Africa,United States,,,,,,,,,Price: USD $
50000.0,USD,1992.0,Used,497.0,2.0,VFR,Airplane,Piston Engine,1.0,Lancair,235,N/A,Kenya,Africa,United States,497.0,,0.0,N/A,,,0.0,N/A,$
35000.0,USD,1966.0,Used,9679.0,4.0,IFR,Airplane,Piston Engine,1.0,Piper Aircraft,Cherokee 140,IL,United States,North America,United States,1734.0,SMOH,0.0,N/A,,,0.0,N/A,$
58500.0,USD,1960.0,Used,3268.0,4.0,IFR,Airplane,Piston Engine,1.0,Piper Aircraft,Comanche 250,TX,United States,North America,United States,690.0,SMOH,0.0,N/A,,SPOH,0.0,N/A,$
